problem_id,worker_role,worker_domain,problem_title,problem_description,type_of_issue,impacted_users_estimate,public_reputation_risk,revenue_impact_estimate,time_to_fix_estimate_hours,label
P0000,Engineer,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,256887,0,0,15,vitamin
P0001,Engineer,Developer Tools,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,31344,0,0,66,hair_on_fire
P0002,Content Moderator,Accessibility,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,231248,1,851,22,hair_on_fire
P0003,Data Scientist,Trust & Safety,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,163132,0,44118,15,hair_on_fire
P0004,Engineer,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,376517,1,5695,60,hair_on_fire
P0005,Engineer,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,578956,1,81070,48,hair_on_fire
P0006,Product Designer,Core Engineering,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,693484,0,10458,31,hair_on_fire
P0007,Engineer,Developer Tools,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,475535,1,0,47,vitamin
P0008,Product Designer,Monetization,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,638820,0,32087,22,hair_on_fire
P0009,Community Manager,Developer Tools,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,970442,0,7331,31,hair_on_fire
P0010,Content Moderator,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,280846,0,0,42,hair_on_fire
P0011,Product Designer,User Experience,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,927757,1,0,19,hair_on_fire
P0012,Product Designer,Monetization,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,941535,1,18131,67,hair_on_fire
P0013,Community Manager,Core Engineering,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,903031,0,0,22,hair_on_fire
P0014,Data Scientist,Core Engineering,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,400256,1,72512,3,hair_on_fire
P0015,Engineer,Monetization,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,117070,1,59470,2,hair_on_fire
P0016,Policy Analyst,Growth,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,912904,1,66540,27,hair_on_fire
P0017,Research Scientist,Trust & Safety,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,565679,0,64042,4,hair_on_fire
